id,category,abm_dimensions,reference_dimensions,pixels_equal,abm_gt,reference_gt
200923-1553-74,identical,142x65,142x65,true,\theta < \sqrt { z },\theta < \sqrt { z }
200922-949-196,identical,160x68,160x68,true,v - \sqrt { o },v - \sqrt { o }
200923-131-70,identical,71x75,71x75,true,o P,o P
MfrDB2439,identical,263x116,263x116,true,\lim _ { n \rightarrow \infty } n ^ { \frac { 1 } { n } } = 1,\lim _ { n \rightarrow \infty } n ^ { \frac { 1 } { n } } = 1
92_lucelia,identical,762x150,762x150,true,y = \frac { x \prime \sin \theta + y \prime \sin ( w \prime + \theta ) } { \sin w },y = \frac { x \prime \sin \theta + y \prime \sin ( w \prime + \theta ) } { \sin w }
118_leo,identical,369x140,369x140,true,P ( x ) = \sum _ { i = 0 } ^ { n } a _ { j } x ^ { j },P ( x ) = \sum _ { i = 0 } ^ { n } a _ { j } x ^ { j }
formulaire011-equation039,identical,346x89,346x89,true,g _ { a } ( r ) = m - 1,g _ { a } ( r ) = m - 1
2009220-1327-74,identical,141x98,141x98,true,e _ { f _ { g _ { h } } },e _ { f _ { g _ { h } } }
formulaire029-equation006,identical,352x83,352x83,true,n = 5,n = 5
76_carlos,identical,634x76,634x76,true,a = b \cos C + c \cos B,a = b \cos C + c \cos B
MfrDB2292,identical,314x72,314x72,true,3 x - 5 < - 2,3 x - 5 < - 2
2009213-139-232,identical,56x68,56x68,true,4,4
2009210-947-53,identical,106x90,106x90,true,- j _ { y _ { b } },- j _ { y _ { b } }
formulaire033-equation016,identical,180x62,180x62,true,3 - \alpha,3 - \alpha
200924-1312-61,identical,625x92,625x92,true,k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9,k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
116_hirata,identical,401x146,401x146,true,x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a },x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire012-equation037,identical,489x147,489x147,true,\lim _ { x \rightarrow - \infty } f ( x ) = - \infty,\lim _ { x \rightarrow - \infty } f ( x ) = - \infty
formulaire021-equation067,identical,110x65,110x65,true,p ( z ),p ( z )
formulaire020-equation069,identical,728x171,728x171,true,r = \frac { p } { 1 + e } = a - c,r = \frac { p } { 1 + e } = a - c
formulaire033-equation002,identical,765x100,765x100,true,"( x ^ { 0 } , x ^ { 1 } , x ^ { 2 } , x ^ { 3 } ) = ( t , r , \theta , \phi )","( x ^ { 0 } , x ^ { 1 } , x ^ { 2 } , x ^ { 3 } ) = ( t , r , \theta , \phi )"
formulaire034-equation029,identical,151x81,151x81,true,"( b , a , a )","( b , a , a )"
2009212-1031-86,identical,52x54,52x54,true,t,t
200926-1617-252,identical,47x54,47x54,true,C,C
200923-1251-137,identical,47x57,47x57,true,R,R
formulaire004-equation018,identical,745x96,745x96,true,- 9 0 a _ { 6 } a _ { 5 } a _ { 4 } + 1 3 5 a _ { 6 } ^ { 2 } a _ { 3 } = 0,- 9 0 a _ { 6 } a _ { 5 } a _ { 4 } + 1 3 5 a _ { 6 } ^ { 2 } a _ { 3 } = 0
formulaire018-equation061,identical,284x72,284x72,true,\alpha + \gamma = \beta,\alpha + \gamma = \beta
200923-1251-225,identical,107x72,107x72,true,0 . 4,0 . 4
formulaire038-equation072,identical,285x70,285x70,true,w = x y z,w = x y z
formulaire010-equation012,identical,375x86,375x86,true,f ( z ) = ( z - z _ { j } ) ^ { n _ { j } } g ( z ),f ( z ) = ( z - z _ { j } ) ^ { n _ { j } } g ( z )
200922-1017-54,identical,256x83,256x83,true,\log _ { 2 } ( 2 ^ { 5 } ) = 5,\log _ { 2 } ( 2 ^ { 5 } ) = 5
126_edwin,identical,535x127,535x127,true,| x - \frac { p _ { n } } { q _ { n } } | \leq \frac { 1 } { q _ { n } q _ { n + 1 } } < \frac { 1 } { q _ { n } ^ { 2 } },| x - \frac { p _ { n } } { q _ { n } } | \leq \frac { 1 } { q _ { n } q _ { n + 1 } } < \frac { 1 } { q _ { n } ^ { 2 } }
MfrDB0166,identical,197x68,197x68,true,2 x + 1 = 5,2 x + 1 = 5
131_rosario,identical,709x117,709x117,true,f ( x ) = a _ { n } x ^ { n } + a _ { n - 1 } x ^ { n - 1 } + \cdots + a _ { 1 } x + a _ { 0 },f ( x ) = a _ { n } x ^ { n } + a _ { n - 1 } x ^ { n - 1 } + \cdots + a _ { 1 } x + a _ { 0 }
76_leissi,identical,633x77,633x77,true,a = b \cos C + c \cos B,a = b \cos C + c \cos B
MfrDB2079,identical,347x64,347x64,true,1 2 3 4 + 5 6 7 8 > 9 0,1 2 3 4 + 5 6 7 8 > 9 0
MfrDB2895,identical,190x143,190x143,true,\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } },\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
106_Nina,identical,281x107,281x107,true,y ^ { 4 } + y + 1 = 0,y ^ { 4 } + y + 1 = 0
2009213-137-52,identical,68x54,68x54,true,z,z
200926-131-52,identical,86x72,86x72,true,- y E,- y E
2009213-137-200,identical,67x63,67x63,true,h v,h v
formulaire016-equation040,identical,374x73,374x73,true,1 7 8 / 4 1 \geq 3,1 7 8 / 4 1 \geq 3
formulaire028-equation009,identical,445x115,445x115,true,"( x _ { 1 } , \ldots , x _ { p } )","( x _ { 1 } , \ldots , x _ { p } )"
formulaire036-equation073,identical,245x121,245x121,true,Y = \frac { 1 } { 1 + e ^ { - X } },Y = \frac { 1 } { 1 + e ^ { - X } }
formulaire002-equation031,identical,136x87,136x87,true,f _ { i } ( x ^ { a } ),f _ { i } ( x ^ { a } )
2009213-137-116,identical,140x73,140x73,true,\sqrt { w + v },\sqrt { w + v }
formulaire030-equation072,identical,403x166,403x166,true,z ^ { 1 } ( X ) = \sum _ { i = 1 } ^ { n } x _ { i } p _ { i } ^ { 1 },z ^ { 1 } ( X ) = \sum _ { i = 1 } ^ { n } x _ { i } p _ { i } ^ { 1 }
MfrDB1245,identical,143x106,143x106,true,\frac { 1 0 0 ! } { 9 7 ! \cdot 6 ! },\frac { 1 0 0 ! } { 9 7 ! \cdot 6 ! }
200923-1253-2,identical,241x136,241x136,true,\int e ^ { x ^ { 2 } } x ^ { 3 } d x,\int e ^ { x ^ { 2 } } x ^ { 3 } d x
formulaire017-equation005,identical,597x80,597x80,true,( ( 8 6 - 9 1 ) / 1 2 0 ) - ( 3 0 / 7 1 ) \leq 0,( ( 8 6 - 9 1 ) / 1 2 0 ) - ( 3 0 / 7 1 ) \leq 0
formulaire003-equation031,identical,119x87,119x87,true,2 ^ { 1 8 },2 ^ { 1 8 }
200923-1254-65,identical,122x69,122x69,true,\sqrt { x - X },\sqrt { x - X }
formulaire015-equation001,identical,151x55,151x55,true,c = 1 3,c = 1 3
formulaire032-equation049,identical,80x101,80x101,true,\frac { p } { 2 },\frac { p } { 2 }
formulaire013-equation046,identical,1210x243,1210x243,true,\frac { \sin x } { x } = \frac { \sin x - \sin 0 } { x - 0 },\frac { \sin x } { x } = \frac { \sin x - \sin 0 } { x - 0 }
200926-1550-42,identical,210x130,210x130,true,\frac { 1 } { 3 } \pi r ^ { 2 } h,\frac { 1 } { 3 } \pi r ^ { 2 } h
200926-1617-82,identical,120x62,120x62,true,\lambda + 6,\lambda + 6
formulaire006-equation071,identical,269x84,269x84,true,d g _ { \beta } = d g _ { \alpha },d g _ { \beta } = d g _ { \alpha }
formulaire023-equation029,identical,573x107,573x107,true,x \rightarrow e ^ { s x },x \rightarrow e ^ { s x }
formulaire020-equation067,identical,316x74,316x74,true,"a = 0 , 8 4","a = 0 , 8 4"
200924-1331-112,identical,42x54,42x54,true,s,s
200922-947-177,identical,46x54,46x54,true,t,t
2009213-139-192,identical,74x72,74x72,true,z _ { N },z _ { N }
200922-947-155,identical,159x73,159x73,true,\sqrt { \cdots + N },\sqrt { \cdots + N }
formulaire022-equation003,identical,87x172,87x172,true,\frac { 1 } { r ^ { d } },\frac { 1 } { r ^ { d } }
formulaire029-equation025,identical,535x76,535x76,true,1 7 7 + 1 5 3 - 1 7 2 \leq 1 5 8,1 7 7 + 1 5 3 - 1 7 2 \leq 1 5 8
200923-131-101,identical,86x77,86x77,true,u _ { x },u _ { x }
4_em_26,identical,161x70,161x70,true,G \neq \{ e \},G \neq \{ e \}
formulaire001-equation051,identical,86x70,86x70,true,\beta ( s ),\beta ( s )
200923-1553-84,identical,76x65,76x65,true,P k,P k
MfrDB0742,identical,164x68,164x68,true,3 \times 3,3 \times 3
200924-1312-239,identical,196x96,196x96,true,\sqrt { \beta - Y _ { k } },\sqrt { \beta - Y _ { k } }
200923-1553-261,identical,155x95,155x95,true,- d + y,- d + y
200923-1251-13,identical,205x84,205x84,true,\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } },\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
formulaire006-equation026,identical,983x90,983x90,true,( x + 1 ) ( 8 x ^ { 3 } - 4 x ^ { 2 } - 4 x + 1 ) = 0,( x + 1 ) ( 8 x ^ { 3 } - 4 x ^ { 2 } - 4 x + 1 ) = 0
200923-1253-226,identical,138x81,138x81,true,[ y + s ],[ y + s ]
200923-1253-168,identical,59x89,59x89,true,Y,Y
MfrDB2870,identical,408x134,408x134,true,\frac { 1 } { n ^ { 2 } } \leq \frac { 1 } { n - 1 } - \frac { 1 } { n },\frac { 1 } { n ^ { 2 } } \leq \frac { 1 } { n - 1 } - \frac { 1 } { n }
MfrDB1843,identical,375x103,375x103,true,2 \log ( x - 3 ) = \log ( 5 - x ),2 \log ( x - 3 ) = \log ( 5 - x )
90_herbert,identical,297x77,297x77,true,y = r \sin \theta,y = r \sin \theta
200923-131-1,identical,445x141,445x141,true,\int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ { 3 } + 1 4 } } d z,\int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ { 3 } + 1 4 } } d z
200924-1312-263,identical,249x199,249x199,true,\sum _ { Y > S } m + p,\sum _ { Y > S } m + p
formulaire004-equation049,identical,160x82,160x82,true,"( p , g , h )","( p , g , h )"
200923-1254-229,identical,170x115,170x115,true,- i,- i
formulaire020-equation055,identical,757x75,757x75,true,( 8 9 - ( 8 6 \times 4 ) ) / ( ( 1 9 6 / 1 6 8 ) + 1 2 5 ) \leq - 1,( 8 9 - ( 8 6 \times 4 ) ) / ( ( 1 9 6 / 1 6 8 ) + 1 2 5 ) \leq - 1
2009220-1327-13,identical,355x85,355x85,true,\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } },\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
200923-1254-130,identical,55x67,55x67,true,A,A
formulaire010-equation059,identical,487x127,487x127,true,a ^ { i j } = g ^ { i k } g ^ { j l } a _ { k l },a ^ { i j } = g ^ { i k } g ^ { j l } a _ { k l }
formulaire015-equation058,identical,141x57,141x57,true,x = 1,x = 1
formulaire034-equation049,identical,494x90,494x90,true,u _ { n + 1 } = ( n + 1 ) u _ { n },u _ { n + 1 } = ( n + 1 ) u _ { n }
200923-131-254,identical,51x65,51x65,true,P,P
MfrDB2957,identical,396x94,396x94,true,| \int \limits _ { a } ^ { b } f ( x ) d x | \leq \int \limits _ { a } ^ { b } | f ( x ) | d x,| \int \limits _ { a } ^ { b } f ( x ) d x | \leq \int \limits _ { a } ^ { b } | f ( x ) | d x
MfrDB0131,identical,171x80,171x80,true,x = 3 ^ { 2 },x = 3 ^ { 2 }
MfrDB2047,identical,172x96,172x96,true,\sqrt { a ^ { 3 } } + a ^ { 4 },\sqrt { a ^ { 3 } } + a ^ { 4 }
formulaire036-equation023,identical,268x95,268x95,true,g ( z ) = z ^ { 2 } f ( z ),g ( z ) = z ^ { 2 } f ( z )
MfrDB2991,identical,604x133,604x133,true,\sum _ { n = 1 } ^ { \infty } ( \frac { \sum _ { i = 1 } ^ { n } a _ { i } } { n } ) ^ { p } < ( \frac { p } { p - 1 } ) ^ { p } \sum _ { n = 1 } ^ { \infty } a _ { n } ^ { p },\sum _ { n = 1 } ^ { \infty } ( \frac { \sum _ { i = 1 } ^ { n } a _ { i } } { n } ) ^ { p } < ( \frac { p } { p - 1 } ) ^ { p } \sum _ { n = 1 } ^ { \infty } a _ { n } ^ { p }
2009220-1327-85,identical,213x144,213x144,true,\sqrt { \frac { 2 z ^ { 3 } } { \sqrt { \frac { 3 z ^ { 2 } } { \sqrt { 4 z } } } } },\sqrt { \frac { 2 z ^ { 3 } } { \sqrt { \frac { 3 z ^ { 2 } } { \sqrt { 4 z } } } } }
2009213-137-48,identical,214x94,214x94,true,\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 },\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
KME2G3_30_sub_30,identical,296x210,296x210,true,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x
200923-1254-141,identical,44x57,44x57,true,X,X
200923-1254-185,identical,114x59,114x59,true,- 5 A,- 5 A
formulaire004-equation000,identical,838x73,838x73,true,( ( 5 6 \times 5 2 ) \div 1 3 5 ) + ( 3 4 - ( 7 4 \times 9 2 ) ) \geq - 6 7 5 2,( ( 5 6 \times 5 2 ) \div 1 3 5 ) + ( 3 4 - ( 7 4 \times 9 2 ) ) \geq - 6 7 5 2
formulaire022-equation064,identical,101x84,101x84,true,"( 5 , 7 )","( 5 , 7 )"
2009210-947-132,identical,166x111,166x111,true,- \int _ { z } ^ { j } n d X,- \int _ { z } ^ { j } n d X
formulaire019-equation058,identical,982x161,982x161,true,\frac { 2 } { 1 5 } \times 7 \times \frac { 1 } { 1 1 } = \frac { 2 \times 7 } { 1 5 } \times \frac { 1 } { 1 1 },\frac { 2 } { 1 5 } \times 7 \times \frac { 1 } { 1 1 } = \frac { 2 \times 7 } { 1 5 } \times \frac { 1 } { 1 1 }
formulaire026-equation026,identical,232x91,232x91,true,n ( n ^ { 2 } + 2 ),n ( n ^ { 2 } + 2 )
MfrDB1621,identical,277x111,277x111,true,\int 2 x d x = x ^ { 2 } + C,\int 2 x d x = x ^ { 2 } + C
formulaire021-equation052,identical,108x104,108x104,true,a ^ { i j },a ^ { i j }
200926-1617-210,identical,99x67,99x67,true,2 . 4,2 . 4
MfrDB1524,identical,433x79,433x79,true,| a - b | \leq | a - c | + | c - b |,| a - b | \leq | a - c | + | c - b |
MfrDB2842,identical,287x101,287x101,true,\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a },\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a }
200923-1254-123,identical,122x134,122x134,true,[ P + \beta ],[ P + \beta ]
formulaire033-equation037,identical,748x167,748x167,true,u ^ { n } = \sum _ { i = 0 } ^ { n - 1 } ( - 1 ) ^ { i } \beta ^ { n - 1 - i } \gamma ^ { i },u ^ { n } = \sum _ { i = 0 } ^ { n - 1 } ( - 1 ) ^ { i } \beta ^ { n - 1 - i } \gamma ^ { i }
200926-1550-60,identical,149x109,149x109,true,\frac { \beta + \gamma } { \theta },\frac { \beta + \gamma } { \theta }
formulaire022-equation036,identical,655x99,655x99,true,\cos ( 3 a ) = 4 \cos ^ { 3 } ( a ) - 3 \cos ( a ),\cos ( 3 a ) = 4 \cos ^ { 3 } ( a ) - 3 \cos ( a )
formulaire005-equation057,identical,254x93,254x93,true,z = f ( u ) + g ( v ),z = f ( u ) + g ( v )
200923-1553-42,identical,244x120,244x120,true,\frac { 1 } { 3 } \pi r ^ { 2 } h,\frac { 1 } { 3 } \pi r ^ { 2 } h
formulaire011-equation051,identical,181x89,181x89,true,r \sqrt { \pi },r \sqrt { \pi }
200925-1126-210,identical,134x70,134x70,true,6 4 . 4,6 4 . 4
formulaire038-equation023,identical,204x86,204x86,true,y = \sqrt { x },y = \sqrt { x }
formulaire032-equation033,identical,100x66,100x66,true,r ( 0 ),r ( 0 )
2009210-947-7,identical,182x99,182x99,true,\sum _ { m } f ( m + 3 ),\sum _ { m } f ( m + 3 )
200922-949-206,identical,100x57,100x57,true,- 7 . 0,- 7 . 0
200923-1251-26,identical,214x124,214x124,true,a + \frac { \sqrt { b + c } } { 2 },a + \frac { \sqrt { b + c } } { 2 }
formulaire018-equation052,identical,300x95,300x95,true,"( n _ { 1 } , n _ { 2 } )","( n _ { 1 } , n _ { 2 } )"
formulaire005-equation028,identical,509x107,509x107,true,x ^ { 2 } + 2 x + 1 = 0,x ^ { 2 } + 2 x + 1 = 0
107_daniel,identical,459x92,459x92,true,a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i ),a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
formulaire024-equation055,identical,745x79,745x79,true,9 5 \pm 1 1 9 \times ( 1 8 7 \div ( 3 9 + 2 4 ) ),9 5 \pm 1 1 9 \times ( 1 8 7 \div ( 3 9 + 2 4 ) )
200926-1550-66,identical,453x134,453x134,true,\frac { \sqrt { 1 + \cos ^ { 2 } ( \theta ) } } { 2 } = \cos ( 2 \theta ),\frac { \sqrt { 1 + \cos ^ { 2 } ( \theta ) } } { 2 } = \cos ( 2 \theta )
200924-1331-47,identical,67x72,67x72,true,t,t
formulaire009-equation063,identical,1082x103,1082x103,true,\sin ^ { 2 } ( x ) ( 1 - \sin ^ { 2 } ( y ) ) = \sin ^ { 2 } ( y ) ( 1 - \sin ^ { 2 } ( x ) ),\sin ^ { 2 } ( x ) ( 1 - \sin ^ { 2 } ( y ) ) = \sin ^ { 2 } ( y ) ( 1 - \sin ^ { 2 } ( x ) )
formulaire012-equation064,identical,160x177,160x177,true,\frac { s ^ { 2 } } { l ^ { 2 } },\frac { s ^ { 2 } } { l ^ { 2 } }
MfrDB1747,identical,317x88,317x88,true,| \sin z | = \sqrt { 1 - \cos ^ { 2 } z },| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
200923-1553-150,identical,55x61,55x61,true,\lambda,\lambda
KME2G3_5_sub_96,identical,262x120,262x120,true,[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } },[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
200923-1253-176,identical,148x70,148x70,true,\cdots - \sum i,\cdots - \sum i
131_maira,identical,1061x135,1061x135,true,f ( x ) = a _ { n } x ^ { n } + a _ { n - 1 } x ^ { n - 1 } + \cdots + a _ { 1 } x + a _ { 0 },f ( x ) = a _ { n } x ^ { n } + a _ { n - 1 } x ^ { n - 1 } + \cdots + a _ { 1 } x + a _ { 0 }
formulaire032-equation038,identical,200x86,200x86,true,1 - x ^ { 2 },1 - x ^ { 2 }
2009213-137-42,identical,210x134,210x134,true,\frac { 1 } { 3 } \pi r ^ { 2 } h,\frac { 1 } { 3 } \pi r ^ { 2 } h
formulaire005-equation060,identical,357x69,357x69,true,3 2 \pm 1 2 \times 1 5,3 2 \pm 1 2 \times 1 5
200923-1253-211,identical,61x58,61x58,true,9 6,9 6
KME2G3_12_sub_65,identical,189x106,189x106,true,[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 },[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200923-1553-258,identical,253x100,253x100,true,[ \sqrt { \sin ^ { r } v } ^ { u + B E } ],[ \sqrt { \sin ^ { r } v } ^ { u + B E } ]
200923-1253-112,identical,159x193,159x193,true,\sum _ { 4 = y } ^ { - d } z - c,\sum _ { 4 = y } ^ { - d } z - c
MfrDB3033,identical,432x154,432x154,true,( \frac { 1 + x ^ { 2 } } { 1 + y ^ { 2 } } ) ^ { t } \leq 2 ^ { | t | } ( 1 + ( x + y ) ^ { 2 } ) ^ { | t | },( \frac { 1 + x ^ { 2 } } { 1 + y ^ { 2 } } ) ^ { t } \leq 2 ^ { | t | } ( 1 + ( x + y ) ^ { 2 } ) ^ { | t | }
formulaire029-equation065,identical,730x80,730x80,true,( ( 0 \div 5 ) - ( 4 0 \div 2 7 ) ) - 4 8 = - 4 9 . 4 8,( ( 0 \div 5 ) - ( 4 0 \div 2 7 ) ) - 4 8 = - 4 9 . 4 8
200923-1556-137,identical,183x64,183x64,true,- \sum m - T,- \sum m - T
200923-1251-229,identical,47x54,47x54,true,\sigma,\sigma
formulaire039-equation027,identical,142x79,142x79,true,\theta _ { m i n },\theta _ { m i n }
200924-1312-129,identical,202x80,202x80,true,- 0 . 4 \gamma,- 0 . 4 \gamma
200923-1251-177,identical,106x65,106x65,true,\sqrt { h - X },\sqrt { h - X }
formulaire032-equation074,identical,495x106,495x106,true,"y = p g c d ( x _ { a } - x _ { b } , n )","y = p g c d ( x _ { a } - x _ { b } , n )"
MfrDB0656,identical,204x85,204x85,true,x ^ { 2 } - 4 = 0,x ^ { 2 } - 4 = 0
KME1G3_6_sub_21,identical,338x129,338x129,true,A = \sqrt { a + \frac { 1 } { \sqrt { a + \frac { 1 } { \sqrt { a } } } } } + \sqrt { b },A = \sqrt { a + \frac { 1 } { \sqrt { a + \frac { 1 } { \sqrt { a } } } } } + \sqrt { b }
formulaire003-equation040,identical,594x78,594x78,true,6 5 + ( ( 1 2 8 \times 7 7 ) + ( 1 9 / 5 9 ) ) \neq 5 5 6,6 5 + ( ( 1 2 8 \times 7 7 ) + ( 1 9 / 5 9 ) ) \neq 5 5 6
200924-1331-78,identical,133x74,133x74,true,- a,- a
200922-949-174,identical,58x54,58x54,true,e,e
MfrDB2546,identical,390x118,390x118,true,"f ( x , y ) = \frac { x } { y } + x y","f ( x , y ) = \frac { x } { y } + x y"
2009213-137-84,identical,403x264,403x264,true,\frac { x } { a + \frac { x } { b - \frac { x } { c } } },\frac { x } { a + \frac { x } { b - \frac { x } { c } } }
200922-949-115,identical,223x70,223x70,true,\cdots + H,\cdots + H
200923-1556-74,identical,115x87,115x87,true,e _ { f _ { g _ { h } } },e _ { f _ { g _ { h } } }
200924-1331-148,identical,85x55,85x55,true,3 . 2,3 . 2
73_fujita,identical,276x127,276x127,true,| \frac { a x _ { 0 } + b y _ { 0 } + c } { \sqrt { a ^ { 2 } + b ^ { 2 } } } |,| \frac { a x _ { 0 } + b y _ { 0 } + c } { \sqrt { a ^ { 2 } + b ^ { 2 } } } |
200926-1617-180,identical,188x96,188x96,true,\int ^ { S } _ { d - h } \sqrt { g } d E,\int ^ { S } _ { d - h } \sqrt { g } d E
MfrDB1067,identical,220x79,220x79,true,\sqrt { 4 } = 2,\sqrt { 4 } = 2
formulaire011-equation066,identical,497x136,497x136,true,g ( X ) = \sqrt { \sum _ { i = 1 } ^ { n } f _ { i } ( x _ { i } - X ) ^ { 2 } },g ( X ) = \sqrt { \sum _ { i = 1 } ^ { n } f _ { i } ( x _ { i } - X ) ^ { 2 } }
200923-1254-105,identical,138x69,138x69,true,\sqrt { 8 + l },\sqrt { 8 + l }
2009212-952-80,identical,184x123,184x123,true,e ^ { \int x ^ { 2 } d x },e ^ { \int x ^ { 2 } d x }
formulaire025-equation071,identical,187x105,187x105,true,x ^ { n - 1 },x ^ { n - 1 }
200926-1617-192,identical,94x54,94x54,true,- x,- x
200923-1553-269,identical,65x79,65x79,true,5,5
MfrDB2483,identical,177x78,177x78,true,3 ^ { 2 } - 1 = 8,3 ^ { 2 } - 1 = 8
200922-949-121,identical,111x74,111x74,true,\alpha _ { z },\alpha _ { z }
formulaire020-equation054,identical,520x191,520x191,true,\frac { a _ { 1 } + \ldots + a _ { n } } { b _ { 1 } + \ldots + b _ { n } },\frac { a _ { 1 } + \ldots + a _ { n } } { b _ { 1 } + \ldots + b _ { n } }
200923-1253-128,identical,138x126,138x126,true,\sum _ { v \geq l } X,\sum _ { v \geq l } X
formulaire002-equation015,identical,737x80,737x80,true,8 9 \times ( ( 1 5 5 \times 5 0 ) \div 1 3 2 ) \neq - 1 3 7 2,8 9 \times ( ( 1 5 5 \times 5 0 ) \div 1 3 2 ) \neq - 1 3 7 2
KME2G3_26_sub_28,identical,511x97,511x97,true,z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z },z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
KME2G3_22_sub_30,identical,308x196,308x196,true,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x
formulaire011-equation033,identical,534x94,534x94,true,x ( 6 - x ) \leq 2 x - 5,x ( 6 - x ) \leq 2 x - 5
MfrDB1800,identical,274x88,274x88,true,a _ { 1 } + a _ { 2 },a _ { 1 } + a _ { 2 }
formulaire001-equation036,identical,892x132,892x132,true,\cos x + i \sin x = e ^ { i x },\cos x + i \sin x = e ^ { i x }
formulaire025-equation002,identical,220x92,220x92,true,"( x _ { b } , y _ { a } )","( x _ { b } , y _ { a } )"
200924-1331-172,identical,66x68,66x68,true,g _ { w },g _ { w }
KME2G3_13_sub_96,identical,321x97,321x97,true,[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } },[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
formulaire011-equation047,identical,273x88,273x88,true,Y = X ^ { 2 },Y = X ^ { 2 }
89_alfonso,identical,615x83,615x83,true,x ^ { \prime } = x \cos \theta + y \sin \theta,x ^ { \prime } = x \cos \theta + y \sin \theta
MfrDB1576,identical,482x193,482x193,true,\int \limits _ { 0 } ^ { 1 } \frac { x ^ { 3 } } { e ^ { x } - 1 } d x = \frac { \pi ^ { 4 } } { 1 5 },\int \limits _ { 0 } ^ { 1 } \frac { x ^ { 3 } } { e ^ { x } - 1 } d x = \frac { \pi ^ { 4 } } { 1 5 }
200926-131-122,identical,51x56,51x56,true,F,F
formulaire025-equation004,identical,395x155,395x155,true,d t _ { 0 } = \frac { d s } { c },d t _ { 0 } = \frac { d s } { c }
108_Nina,identical,277x90,277x90,true,a ^ { x } a ^ { y } = a ^ { x + y },a ^ { x } a ^ { y } = a ^ { x + y }
89_Nina,identical,504x103,504x103,true,x ^ { \prime } = x \cos \theta + y \sin \theta,x ^ { \prime } = x \cos \theta + y \sin \theta
200924-1331-192,identical,125x69,125x69,true,\mu ( l - I ),\mu ( l - I )
200926-1550-108,identical,151x61,151x61,true,M < 4 8,M < 4 8
2009220-1327-52,identical,45x54,45x54,true,t,t
2009210-947-162,identical,110x95,110x95,true,\int s _ { \sigma } d z,\int s _ { \sigma } d z
MfrDB0005,identical,306x156,306x156,true,\lim _ { n \rightarrow \infty } \frac { ( n ! ) ^ { \frac { 1 } { n } } } { n } = e,\lim _ { n \rightarrow \infty } \frac { ( n ! ) ^ { \frac { 1 } { n } } } { n } = e
MfrDB1475,identical,477x191,477x191,true,\int \limits _ { 0 } ^ { 1 } \frac { x ^ { 3 } } { e ^ { x } - 1 } d x = \frac { \pi ^ { 4 } } { 1 5 },\int \limits _ { 0 } ^ { 1 } \frac { x ^ { 3 } } { e ^ { x } - 1 } d x = \frac { \pi ^ { 4 } } { 1 5 }
2009213-137-78,identical,309x330,309x330,true,\frac { x _ { 1 } } { \frac { x _ { 2 } } { \frac { x _ { 3 } } { x _ { 4 } } } },\frac { x _ { 1 } } { \frac { x _ { 2 } } { \frac { x _ { 3 } } { x _ { 4 } } } }
formulaire011-equation060,identical,540x81,540x81,true,( 1 4 3 - 1 3 5 - 1 9 1 ) / 5 3 \neq 1,( 1 4 3 - 1 3 5 - 1 9 1 ) / 5 3 \neq 1
MfrDB0524,identical,165x63,165x63,true,a = 1 + 2,a = 1 + 2
